date,platform,sum
2014-06-15,ios-app,2327086.00000
2014-07-31,android-app,1437374.00000
2015-08-29,android-app,2126659.00000
2015-09-17,android-app,2149821.00000
2014-06-22,android-app,1362194.00000
2014-06-03,ios-app,2313055.00000
2015-06-11,android-app,2223616.00000
2014-10-16,android-app,1753055.00000
2015-09-27,android-app,2130499.00000
2015-04-28,ios-app,3052030.00000
2015-10-06,android-app,2105228.00000
2015-09-13,ios-app,3150523.00000
2015-07-15,ios-app,2956201.00000
2015-09-19,android-app,2139059.00000
2014-12-15,android-app,2903926.00000
2014-08-26,ios-app,2469880.00000
2015-06-11,ios-app,3039869.00000
2015-09-30,ios-app,3273398.00000
2015-07-16,ios-app,2962501.00000
2015-10-08,android-app,2105454.00000
2014-08-03,ios-app,2459234.00000
2015-04-13,ios-app,3147256.00000
2015-07-04,ios-app,2962332.00000
2014-07-05,android-app,1380386.00000
2015-07-17,android-app,2135849.00000
2015-06-15,ios-app,3025493.00000
2015-05-24,ios-app,3152099.00000
2014-10-15,ios-app,2489063.00000
2014-08-21,ios-app,2467993.00000
2014-06-14,android-app,1346217.00000
2014-10-11,android-app,1702116.00000
2014-12-06,ios-app,3540131.00000
2014-12-28,android-app,3136897.00000
2015-06-18,ios-app,3021119.00000
2015-05-09,android-app,2279936.00000
2014-12-24,android-app,3203570.00000
2015-04-01,android-app,2370453.00000
2015-01-07,android-app,3137910.00000
2015-01-14,android-app,3063051.00000
2015-03-28,ios-app,3100588.00000
2015-07-12,android-app,2143953.00000
2014-07-03,android-app,1372341.00000
2015-08-07,ios-app,2978406.00000
2015-08-15,android-app,2047645.00000
2015-08-31,android-app,2145643.00000
2015-01-14,ios-app,3774271.00000
2014-06-08,android-app,1315784.00000
2014-10-25,ios-app,2423622.00000
2015-08-10,android-app,2037284.00000
2015-04-01,ios-app,3156919.00000
2015-05-12,ios-app,3146568.00000
2014-08-16,android-app,1464502.00000
2014-07-13,android-app,1406215.00000
2015-03-05,android-app,2416691.00000
2015-07-02,ios-app,2956270.00000
2014-11-24,ios-app,2834978.00000
2014-08-04,android-app,1453333.00000
2015-07-21,android-app,2120139.00000
2014-08-08,ios-app,2466180.00000
2014-10-25,android-app,1766460.00000
2015-09-05,ios-app,3180775.00000
2015-05-12,android-app,2283526.00000
2015-04-06,ios-app,3157989.00000
2014-07-07,ios-app,2434092.00000
2015-02-16,ios-app,2948311.00000
2014-07-08,ios-app,2437572.00000
2014-10-09,android-app,1669317.00000
2014-08-30,android-app,1465000.00000
2015-04-17,android-app,2345416.00000
2015-03-15,android-app,2401595.00000
2014-09-04,android-app,1490053.00000
2014-09-12,android-app,1491669.00000
2015-06-07,ios-app,3061266.00000
2014-08-03,android-app,1471168.00000
2015-02-22,ios-app,2904457.00000
2014-08-18,android-app,1453030.00000
2015-06-30,android-app,2165388.00000
2015-03-16,android-app,2405777.00000
2014-09-29,ios-app,2516191.00000
2015-02-08,android-app,2547569.00000
2014-06-27,ios-app,2367604.00000
2015-02-10,ios-app,2998932.00000
2014-11-01,android-app,1822676.00000
2015-08-07,android-app,2035169.00000
2014-11-19,android-app,2127825.00000
2014-12-20,android-app,3056713.00000
2014-06-24,ios-app,2348070.00000
2014-08-06,ios-app,2448120.00000
2014-07-19,ios-app,2425110.00000
2014-12-14,android-app,2880636.00000
2014-09-01,ios-app,2466868.00000
2015-01-29,ios-app,3203292.00000
2015-09-13,android-app,2166348.00000
2014-09-11,ios-app,2475960.00000
2015-03-26,ios-app,3070240.00000
2014-12-19,ios-app,3933646.00000
2015-05-13,ios-app,3144866.00000
2014-11-23,ios-app,2804510.00000
2014-06-06,ios-app,2318478.00000
2015-04-05,ios-app,3176334.00000
2015-05-27,ios-app,3173741.00000
2015-03-08,ios-app,2954347.00000
2015-04-14,ios-app,3157778.00000
2015-06-06,android-app,2246784.00000
2014-12-26,ios-app,4044896.00000
2015-03-13,android-app,2407653.00000
2014-09-18,android-app,1502135.00000
2015-05-15,android-app,2274559.00000
2015-06-18,android-app,2225662.00000
2014-09-25,android-app,1561323.00000
2015-01-23,ios-app,3449256.00000
2014-06-20,ios-app,2356767.00000
2014-07-06,ios-app,2412358.00000
2015-01-27,ios-app,3303247.00000
2014-11-27,android-app,2288863.00000
2015-10-04,android-app,2124784.00000
2015-07-30,android-app,2084499.00000
2015-01-04,ios-app,3980659.00000
2015-09-12,ios-app,3159442.00000
2014-07-25,android-app,1425672.00000
2015-04-07,ios-app,3160360.00000
2015-04-06,android-app,2366877.00000
2015-05-04,android-app,2299662.00000
2014-07-14,android-app,1426961.00000
2014-12-07,android-app,2732527.00000
2015-06-20,android-app,2217788.00000
2015-07-12,ios-app,2950924.00000
2014-12-05,android-app,2665759.00000
2015-09-10,ios-app,3164417.00000
2014-11-23,android-app,2173900.00000
2014-07-03,ios-app,2418696.00000
2015-08-15,ios-app,3034098.00000
2014-09-01,android-app,1476194.00000
2014-09-10,android-app,1489323.00000
2014-11-20,android-app,2139388.00000
2014-06-13,android-app,1339675.00000
2015-05-14,android-app,2275994.00000
2015-06-17,android-app,2221253.00000
2015-09-21,android-app,2128682.00000
2014-06-03,android-app,1322978.00000
2015-05-16,android-app,2265680.00000
2014-09-04,ios-app,2473473.00000
2015-07-01,ios-app,2957955.00000
2015-03-11,ios-app,2955562.00000
2015-07-05,ios-app,2943245.00000
2014-09-09,ios-app,2491788.00000
2015-09-09,android-app,2161394.00000
2014-08-01,ios-app,2430025.00000
2015-02-26,ios-app,2906075.00000
2015-01-08,ios-app,3955816.00000
2015-05-18,android-app,2260907.00000
2014-07-06,android-app,1362613.00000
2014-11-26,ios-app,2915759.00000
2015-06-14,android-app,2225668.00000
2014-07-26,android-app,1431985.00000
2014-08-18,ios-app,2459154.00000
2014-12-31,android-app,3115671.00000
2014-11-17,ios-app,2674647.00000
2014-09-19,android-app,1505149.00000
2015-10-08,ios-app,3289051.00000
2014-10-23,android-app,1782074.00000
2014-06-23,android-app,1339462.00000
2015-07-29,ios-app,2995476.00000
2015-06-03,android-app,2233720.00000
2015-07-08,android-app,2139567.00000
2014-08-11,ios-app,2438675.00000
2015-07-22,android-app,2116135.00000
2015-02-20,ios-app,2916117.00000
2015-08-21,ios-app,3085276.00000
2014-11-08,android-app,1845884.00000
2014-09-14,ios-app,2455854.00000
2014-07-09,ios-app,2440309.00000
2014-12-03,ios-app,3448874.00000
2015-06-26,ios-app,2974515.00000
2015-08-19,android-app,2077813.00000
2015-04-12,android-app,2355730.00000
2014-06-06,android-app,1330493.00000
2014-06-25,ios-app,2354549.00000
2015-05-08,ios-app,3095762.00000
2015-02-23,android-app,2431692.00000
2015-04-05,android-app,2375860.00000
2014-08-23,ios-app,2473139.00000
2015-10-01,ios-app,3288086.00000
2014-06-01,ios-app,2311402.00000
2015-03-07,android-app,2422472.00000
2014-12-31,ios-app,3962246.00000
2015-04-04,android-app,2374808.00000
2015-07-24,ios-app,2984595.00000
2014-09-19,ios-app,2421111.00000
2014-08-22,ios-app,2470356.00000
2015-08-11,ios-app,3011179.00000
2014-08-25,ios-app,2472444.00000
2014-11-03,ios-app,2425294.00000
2014-07-16,android-app,1422289.00000
2014-09-27,ios-app,2498982.00000
2015-06-07,android-app,2237137.00000
